N,P,K,temperature,humidity,ph,rainfall,soil_type,season_duration,label
84.0,38.0,37.0,23.3,76.0,6.5,1554.0,Loam,204,Tea
100.0,52.0,31.0,19.1,82.0,6.44,1191.0,Clay,188,Tea
120.0,8.0,23.0,26.6,57.0,7.47,581.0,Silty Loam,186,Maize
38.0,33.0,7.0,35.7,43.0,5.77,485.0,Sandy Loam,183,Sorghum
31.0,24.0,63.0,27.4,59.0,5.91,746.0,Loam,139,Beans
18.0,21.0,60.0,22.9,92.0,5.12,1158.0,Loam,199,Cassava
65.0,54.0,46.0,23.4,58.0,6.65,296.0,Clay,204,Maize
28.0,15.0,104.0,32.1,66.0,5.14,1515.0,Loam,190,Cassava
47.0,16.0,51.0,26.6,64.0,5.86,394.0,Sandy Loam,104,Maize
92.0,46.0,81.0,21.2,53.0,7.48,823.0,Silty Clay,174,Tomato
63.0,22.0,55.0,28.8,52.0,7.43,568.0,Sandy Loam,235,Tomato
87.0,42.0,63.0,14.9,36.0,7.74,496.0,Loam,144,Wheat
14.0,36.0,97.0,29.7,63.0,5.04,1304.0,Sandy Loam,148,Cassava
16.0,41.0,22.0,23.8,45.0,6.12,338.0,Loam,162,Sorghum
71.0,23.0,71.0,27.4,70.0,6.57,942.0,Loam,203,Tomato
57.0,53.0,40.0,24.6,65.0,6.63,531.0,Loam,153,Maize
45.0,62.0,39.0,22.9,55.0,6.98,768.0,Loam,190,Wheat
51.0,19.0,47.0,27.1,89.0,7.07,1347.0,Clay,192,Cassava
72.0,20.0,61.0,22.0,48.0,6.18,692.0,Silty Clay,137,Wheat
45.0,5.0,57.0,23.6,59.0,5.51,689.0,Loam,119,Cassava
99.0,14.0,38.0,22.8,57.0,7.63,967.0,Sandy Loam,229,Maize
120.0,48.0,73.0,16.9,51.0,7.54,370.0,Clay,189,Wheat
67.0,22.0,56.0,25.8,43.0,7.94,238.0,Loam,201,Sorghum
36.0,19.0,42.0,25.9,31.0,7.64,493.0,Silty Loam,140,Sorghum
42.0,7.0,40.0,23.9,73.0,5.72,781.0,Silty Loam,130,Maize
18.0,30.0,27.0,27.9,37.0,7.32,349.0,Sandy Loam,166,Sorghum
104.0,43.0,62.0,27.4,57.0,6.69,778.0,Loam,207,Tomato
49.0,39.0,61.0,11.9,32.0,6.5,475.0,Sandy Loam,210,Wheat
83.0,28.0,41.0,18.0,74.0,6.55,794.0,Silty Clay,130,Tomato
101.0,22.0,40.0,14.7,76.0,7.71,569.0,Sandy Loam,105,Wheat
19.0,22.0,27.0,35.1,69.0,5.7,406.0,Silty Loam,160,Sorghum
104.0,43.0,35.0,19.2,60.0,6.27,641.0,Loam,112,Wheat
91.0,46.0,47.0,10.6,43.0,6.24,359.0,Loam,241,Wheat
78.0,27.0,38.0,22.4,63.0,6.1,559.0,Loam,143,Maize
39.0,20.0,18.0,28.5,37.0,8.28,290.0,Sandy Loam,73,Sorghum
107.0,26.0,55.0,19.8,56.0,5.68,725.0,Loam,200,Maize
109.0,23.0,42.0,29.1,73.0,6.09,490.0,Loam,176,Maize
78.0,73.0,57.0,18.3,85.0,6.37,2495.0,Clay,184,Tea
25.0,6.0,18.0,32.2,48.0,5.66,305.0,Silty Loam,150,Sorghum
80.0,60.0,62.0,21.8,83.0,4.96,1558.0,Clay,129,Tea
13.0,3.0,95.0,32.2,70.0,6.18,1071.0,Silty Loam,221,Cassava
84.0,25.0,79.0,22.9,56.0,7.44,1083.0,Clay,188,Tomato
34.0,21.0,83.0,23.5,97.0,4.76,1301.0,Loam,153,Cassava
71.0,21.0,58.0,22.4,81.0,6.08,698.0,Silty Loam,272,Beans
88.0,31.0,28.0,12.0,82.0,6.49,388.0,Silty Loam,217,Wheat
59.0,29.0,26.0,20.1,59.0,7.82,428.0,Silty Clay,186,Wheat
141.0,33.0,51.0,19.9,89.0,7.25,1123.0,Sandy Loam,199,Tomato
89.0,23.0,70.0,19.5,60.0,6.13,783.0,Clay,222,Maize
129.0,80.0,27.0,18.1,63.0,6.12,891.0,Silty Clay,184,Tomato
84.0,45.0,55.0,22.7,62.0,5.25,439.0,Sandy Loam,200,Beans
102.0,42.0,73.0,16.1,57.0,7.64,490.0,Loam,178,Wheat
127.0,81.0,91.0,17.2,82.0,6.27,1368.0,Loam,188,Tea
64.0,59.0,46.0,16.8,81.0,4.54,2431.0,Sandy Loam,202,Tea
115.0,29.0,65.0,27.4,72.0,7.06,653.0,Silty Loam,127,Tomato
27.0,10.0,60.0,27.8,75.0,5.5,532.0,Loam,161,Sorghum
51.0,38.0,20.0,24.6,45.0,6.19,255.0,Sandy Loam,190,Sorghum
107.0,39.0,76.0,18.4,86.0,6.22,2307.0,Silty Clay,166,Tea
106.0,22.0,29.0,10.6,50.0,7.48,397.0,Loam,118,Wheat
37.0,36.0,53.0,20.5,81.0,6.22,345.0,Sandy Loam,227,Beans
108.0,74.0,97.0,29.0,70.0,5.54,723.0,Silty Loam,121,Tomato
62.0,38.0,52.0,17.0,95.0,6.75,601.0,Silty Clay,179,Beans
110.0,66.0,94.0,29.5,56.0,6.34,344.0,Loam,187,Tomato
