N,P,K,temperature,humidity,ph,rainfall,soil_type,season_duration,label
60.95209531999608,34.905764429857115,86.21371496465025,20.29339387847728,78.03174837638198,6.407387160614332,997.273607466565,Loam,135,sweet potato
25.0,68.0,77.0,20.09340593,15.11279612,7.701446446,857.4904898,Clay Loam,100,chickpea
95.0,88.0,52.0,28.00316034,78.90085998,6.235461772,946.8180316,Loam,293,banana
85.0,52.0,45.0,26.31355498,82.36698992,7.224285503,2655.355937,Clay Loam,173,rice
27.0,120.0,200.0,21.45278675,90.74531921,6.110218826,1167.036582,Sandy Loam,188,apple
86.0,45.5,70.0,22.7,65.3,5.9,1020.0,Silty Loam,120,passionfruit
31.0,11.0,45.0,24.83954414,86.88738076,6.034612928,1076.435771,Sandy Loam,215,pomegranate
75.0,25.0,19.0,23.2,73.0,6.04,546.0,Silty Clay,225,Beans
47.0,16.0,51.0,26.6,64.0,5.86,394.0,Sandy Loam,104,Maize
59.0,62.0,52.0,43.67549305,93.10887229,6.608667684,1038.235658,Red Volcanic,209,papaya
61.0,44.0,17.0,26.10018422,71.57476937,6.931756558,1022.662445,Silty Loam,115,maize
60.0,8.0,112.0,24.1,62.0,6.93,714.0,Sandy Loam,187,Cassava
24.3,60.1,65.9,19.4,64.0,6.5,445.0,Sandy Loam,66,beans
254.7,72.3,311.8,28.4,77.1,5.3,1289.0,Loam,120,pineapple
22.0,36.0,16.0,30.58139475,50.77148138,8.18422855,645.8559639,Loam,80,mothbeans
98.0,58.0,82.0,26.4,72.5,6.2,1120.0,Loam,120,passionfruit
92.7,54.3,78.9,15.8,64.2,6.4,392.0,Silty Loam,120,onions
52.4167800756376,32.0329800010701,71.38202256707912,23.23393585021887,66.64958865470274,6.106992740323965,1523.1994522237778,Clay,605,avocado
93.0,49.0,16.0,17.1,62.0,6.59,633.0,Silty Clay,159,Wheat
58.0,35.0,53.0,22.6,59.0,6.25,226.0,Loam,189,Beans
57.0,64.0,55.0,26.68386496,92.9585411,6.583760499,625.0689682,Sandy Loam,197,papaya
76.0,11.0,81.0,15.9,71.0,7.17,511.0,Loam,182,Wheat
35.17156750735491,55.25019295354594,81.33499186760284,21.875160792846383,73.7068328825859,5.5119080525408215,1195.1131038926012,Sandy Loam,115,sweet potato
63.0,47.0,40.0,26.1,69.0,5.61,837.0,Sandy Loam,189,Maize
93.42110520421022,56.96866480166206,56.30606048916589,17.02328037402229,60.92697796207638,7.31728323488849,840.4166161766094,Clay,85,kale
59.0,12.0,35.0,22.0,57.0,6.85,886.0,Silty Clay,195,Tomato
37.0,137.0,199.0,22.63946441,90.18451645,5.697945522,1083.405879,Sandy Loam,186,apple
60.84632192070061,42.276705276975065,105.17674430864889,13.782135764770482,85.88346354828421,5.268754458601184,1344.8676645015692,Clay,123,potato
110.0,13.0,48.0,19.7,70.0,6.27,690.0,Silty Clay,135,Wheat
36.0,19.0,42.0,25.9,31.0,7.64,493.0,Silty Loam,140,Sorghum
28.0,23.0,28.0,30.01821337,50.0983181,5.676032581,960.8745082,Sandy Loam,182,mango
68.4,38.6,105.2,17.5,61.8,5.9,770.0,Silty Loam,120,ribena
77.80980052695402,57.27741133866892,86.34750732809911,12.019377047803093,80.4423343629818,5.846949706009874,1382.3624374048923,Loam,101,potato
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,2570.038865,Clay Loam,171,rice
113.0,20.0,48.0,27.46583649,94.87679041,6.440584681,272.7899847,Sandy Loam,89,muskmelon
40.0,5.0,29.0,28.48444906,97.76865458,5.820978791,1603.89421,Coastal Sandy,365,coconut
90.4,57.0,99.3,18.9,74.3,5.5,600.0,Silty Loam,120,ribena
28.0,74.0,81.0,18.01272266,18.30968112,8.753795334,819.8568791,Sandy Loam,99,chickpea
80.2,51.6,102.4,19.3,74.1,6.2,760.0,Loam,120,ribena
92.0,54.0,70.0,15.8,60.5,6.6,370.0,Sandy Loam,120,onions
145.0,88.0,149.0,19.2,72.5,6.9,585.0,Loam,120,cabbage
33.0,21.0,55.0,31.6,45.0,5.66,544.0,Loam,188,Sorghum
39.0,15.0,65.0,32.4,30.0,7.66,232.0,Clay,222,Sorghum
101.0,33.0,33.0,26.97251562,62.0183627,6.908671379,1428.610793,Red Volcanic,227,coffee
103.0,54.0,79.0,22.8,86.0,6.28,677.0,Sandy Loam,218,Maize
56.0,58.0,49.0,37.13165026,94.60761797,6.69215564,1724.788062,Loam,229,papaya
126.0,64.0,68.0,21.4,68.0,5.5,2055.0,Sandy Loam,169,Tea
37.0,4.0,61.0,29.2,79.0,6.53,1115.0,Loam,184,Cassava
61.0,46.0,17.0,26.6,57.0,7.45,747.0,Loam,230,Beans
76.0,14.0,13.0,26.5,46.0,6.19,699.0,Loam,201,Beans
65.2452112804264,35.77993845040904,51.45435284264944,17.068419437612093,83.89139927055675,5.0546624077671485,1461.5515734935293,Loam,1408,macadamia
90.46784651412298,46.52476823800265,44.473886124031765,24.211298548130184,68.98079135029832,7.319432031438808,1100.8108606851536,Loam,72,kale
94.0,70.0,48.0,25.13686519,84.88394407,6.195152442,914.6442491,Clay Loam,292,banana
90.0,50.0,44.0,26.91643698,73.48655995,6.253408852,1714.716375,Silty Clay,162,jute
100.0,14.0,49.0,29.48882958,91.07574233,6.365956658,260.1909355,Loam,89,muskmelon
123.0,20.0,60.0,29.8,89.0,5.61,666.0,Silty Loam,187,Tomato
63.0,14.0,16.0,22.3,57.0,7.52,387.0,Sandy Loam,209,Sorghum
85.0,9.0,53.0,28.20619412,92.86798698,6.447662945,287.8654515,Sandy Loam,89,muskmelon
112.3,65.0,171.4,21.9,65.2,6.4,756.0,Sandy Loam,120,tomato
40.1599395898608,25.1647930813917,32.356997276019975,28.037454543511984,50.307387484548855,7.019314419143573,465.9885082890905,Sandy Loam,103,millet
101.0,10.0,47.0,25.5421695,83.31883376,6.936997681,575.7343233,Loam,88,watermelon
50.0,58.0,23.0,27.81326852,62.50460464,7.596802025,697.5555541,Loam,79,blackgram
26.0,17.0,32.0,20.2,74.0,5.65,641.0,Silty Clay,158,Beans
68.86327200664839,49.62016776289924,65.7018537950091,17.651410625288996,73.6297781727498,6.177785028655775,855.9030468777905,Sandy Loam,82,kale
64.5357043143374,45.09191117297708,70.47192304468673,18.331646688645883,83.56875687003145,6.819784866880774,1185.261931741162,Sandy Loam,519,avocado
39.143764504318156,31.461607645851366,66.16017215356926,28.3818256564818,69.27782653855337,5.9416012581811115,1045.0626439098223,Sandy Loam,925,cashew
86.83894082247788,56.32613056130771,71.5182611753181,18.341776482978897,83.86896745355047,5.452216970892174,1862.9536096677878,Loam,1717,macadamia
78.0,27.0,38.0,22.4,63.0,6.1,559.0,Loam,143,Maize
122.0,48.0,16.0,24.65425757,75.6350708,6.307585854,618.2980133,Black Cotton,165,cotton
57.26528212883852,20.2900409425281,69.06748089578115,24.30192293352695,78.87151760397052,6.968233419178647,956.2234796760237,Sandy Loam,973,cashew
4.0,59.0,19.0,26.25070298,67.62779652,7.621494566,408.106299,Clay Loam,103,lentil
41.16833491613816,25.154521110027304,58.00564718903594,28.824082735558484,70.43267767426518,7.305813915232722,796.2280995635418,Loam,877,cashew
119.51388839269376,54.678038879699066,56.814259936066485,22.093430761006267,71.74067134921661,6.047114471917441,917.3208385513701,Loam,76,kale
30.0,30.0,35.0,25.00872392,95.59224018,6.001936419,1658.092179,Coastal Sandy,365,coconut
90.0,16.0,45.0,24.92093261,80.61750795,6.291540278,505.5710813,Loam,88,watermelon
309.2,66.7,359.8,27.4,77.1,5.3,1255.0,Loam,120,pineapple
23.0,6.0,33.0,29.18032562,92.73041222,6.025789594,2049.603677,Coastal Sandy,365,coconut
103.0,27.0,31.0,27.15998538,51.59100753,6.691541233,1261.752206,Red Volcanic,222,coffee
12.0,19.0,31.0,27.25373364,52.66319725,5.566704378,918.7312479,Loam,180,mango
68.4369716357792,68.03524813930656,128.1855967617462,13.786206245754972,73.50901322013942,5.688294134475539,906.593023672703,Loam,108,potato
28.0,34.0,37.0,28.5,62.0,6.02,504.0,Loam,193,Sorghum
96.8,65.4,88.2,18.5,65.1,6.7,420.0,Loam,120,onions
36.0,25.0,33.0,27.98392787,53.33018851,5.548584852,996.1465679,Loam,183,mango
56.97875750463624,39.69368974609873,35.307047384219175,24.358338919945396,43.67250396680998,6.854203182268135,579.2536554787239,Loam,97,millet
60.0,47.0,38.0,9.7,42.0,8.0,748.0,Clay,145,Wheat
31.0,78.0,76.0,17.57212145,14.99927489,8.519975748,893.1050665,Loam,98,chickpea
24.0,63.0,19.0,19.3479443,55.96805489,4.681576043,1945.921148,Loam,158,pigeonpeas
66.0,72.0,51.0,21.0,84.0,5.58,840.0,Clay,214,Tomato
