N,P,K,temperature,humidity,ph,rainfall,soil_type,season_duration,label
84,38,37,23.3,76,6.5,1554,Loam,204,Tea
100,52,31,19.1,82,6.44,1191,Clay,188,Tea
120,8,23,26.6,57,7.47,581,Silty Loam,186,Maize
38,33,7,35.7,43,5.77,485,Sandy Loam,183,Sorghum
31,24,63,27.4,59,5.91,746,Loam,139,Beans
18,21,60,22.9,92,5.12,1158,Loam,199,Cassava
65,54,46,23.4,58,6.65,296,Clay,204,Maize
28,15,104,32.1,66,5.14,1515,Loam,190,Cassava
47,16,51,26.6,64,5.86,394,Sandy Loam,104,Maize
92,46,81,21.2,53,7.48,823,Silty Clay,174,Tomato
63,22,55,28.8,52,7.43,568,Sandy Loam,235,Tomato
87,42,63,14.9,36,7.74,496,Loam,144,Wheat
14,36,97,29.7,63,5.04,1304,Sandy Loam,148,Cassava
16,41,22,23.8,45,6.12,338,Loam,162,Sorghum
71,23,71,27.4,70,6.57,942,Loam,203,Tomato
57,53,40,24.6,65,6.63,531,Loam,153,Maize
45,62,39,22.9,55,6.98,768,Loam,190,Wheat
51,19,47,27.1,89,7.07,1347,Clay,192,Cassava
72,20,61,22.0,48,6.18,692,Silty Clay,137,Wheat
45,5,57,23.6,59,5.51,689,Loam,119,Cassava
99,14,38,22.8,57,7.63,967,Sandy Loam,229,Maize
120,48,73,16.9,51,7.54,370,Clay,189,Wheat
67,22,56,25.8,43,7.94,238,Loam,201,Sorghum
36,19,42,25.9,31,7.64,493,Silty Loam,140,Sorghum
42,7,40,23.9,73,5.72,781,Silty Loam,130,Maize
18,30,27,27.9,37,7.32,349,Sandy Loam,166,Sorghum
104,43,62,27.4,57,6.69,778,Loam,207,Tomato
49,39,61,11.9,32,6.5,475,Sandy Loam,210,Wheat
83,28,41,18.0,74,6.55,794,Silty Clay,130,Tomato
101,22,40,14.7,76,7.71,569,Sandy Loam,105,Wheat
19,22,27,35.1,69,5.7,406,Silty Loam,160,Sorghum
104,43,35,19.2,60,6.27,641,Loam,112,Wheat
91,46,47,10.6,43,6.24,359,Loam,241,Wheat
78,27,38,22.4,63,6.1,559,Loam,143,Maize
39,20,18,28.5,37,8.28,290,Sandy Loam,73,Sorghum
107,26,55,19.8,56,5.68,725,Loam,200,Maize
109,23,42,29.1,73,6.09,490,Loam,176,Maize
78,73,57,18.3,85,6.37,2495,Clay,184,Tea
25,6,18,32.2,48,5.66,305,Silty Loam,150,Sorghum
80,60,62,21.8,83,4.96,1558,Clay,129,Tea
13,3,95,32.2,70,6.18,1071,Silty Loam,221,Cassava
84,25,79,22.9,56,7.44,1083,Clay,188,Tomato
34,21,83,23.5,97,4.76,1301,Loam,153,Cassava
71,21,58,22.4,81,6.08,698,Silty Loam,272,Beans
88,31,28,12.0,82,6.49,388,Silty Loam,217,Wheat
59,29,26,20.1,59,7.82,428,Silty Clay,186,Wheat
141,33,51,19.9,89,7.25,1123,Sandy Loam,199,Tomato
89,23,70,19.5,60,6.13,783,Clay,222,Maize
129,80,27,18.1,63,6.12,891,Silty Clay,184,Tomato
84,45,55,22.7,62,5.25,439,Sandy Loam,200,Beans
102,42,73,16.1,57,7.64,490,Loam,178,Wheat
127,81,91,17.2,82,6.27,1368,Loam,188,Tea
64,59,46,16.8,81,4.54,2431,Sandy Loam,202,Tea
115,29,65,27.4,72,7.06,653,Silty Loam,127,Tomato
27,10,60,27.8,75,5.5,532,Loam,161,Sorghum
51,38,20,24.6,45,6.19,255,Sandy Loam,190,Sorghum
107,39,76,18.4,86,6.22,2307,Silty Clay,166,Tea
106,22,29,10.6,50,7.48,397,Loam,118,Wheat
37,36,53,20.5,81,6.22,345,Sandy Loam,227,Beans
108,74,97,29.0,70,5.54,723,Silty Loam,121,Tomato
62,38,52,17.0,95,6.75,601,Silty Clay,179,Beans
110,66,94,29.5,56,6.34,344,Loam,187,Tomato
48,25,71,26.7,92,6.84,484,Clay,182,Tomato
83,54,56,27.3,59,5.91,933,Loam,165,Tomato
76,29,99,18.8,74,6.93,638,Loam,139,Maize
51,26,26,26.7,48,5.49,534,Sandy Loam,143,Sorghum
61,6,116,32.3,79,5.71,1028,Sandy Loam,163,Cassava
79,44,25,25.1,69,6.04,308,Clay,165,Beans
82,33,42,20.1,80,4.99,754,Sandy Loam,137,Beans
45,2,8,25.9,70,4.87,1036,Silty Loam,151,Cassava
26,15,96,28.3,58,6.16,1220,Sandy Loam,138,Cassava
69,26,22,20.8,54,6.94,600,Sandy Loam,87,Maize
52,24,8,35.9,69,7.36,416,Sandy Loam,190,Sorghum
74,45,69,22.8,48,5.76,792,Loam,123,Maize
92,20,79,26.9,74,6.83,520,Loam,185,Maize
58,53,81,15.6,67,7.24,765,Sandy Loam,249,Wheat
21,25,90,27.5,74,4.77,1334,Sandy Loam,204,Cassava
89,30,48,26.5,83,6.83,738,Sandy Loam,203,Beans
133,22,89,17.1,91,5.1,2309,Loam,179,Tea
26,15,62,27.1,90,6.8,1184,Silty Loam,208,Cassava
33,4,107,28.0,85,7.23,1411,Silty Clay,171,Cassava
85,10,17,22.4,85,5.56,743,Sandy Loam,135,Beans
25,5,46,28.3,56,7.69,540,Clay,162,Sorghum
93,20,47,27.0,80,5.21,569,Clay,192,Beans
99,10,68,16.6,76,6.53,628,Silty Clay,151,Wheat
97,7,63,19.8,61,7.13,582,Silty Loam,180,Maize
84,65,28,21.8,67,6.64,2813,Sandy Loam,209,Tea
47,65,67,14.9,73,6.92,628,Loam,227,Wheat
58,42,53,21.1,76,7.3,831,Loam,134,Maize
101,30,25,29.0,81,6.24,939,Clay,171,Maize
31,33,46,34.3,45,6.01,133,Sandy Loam,176,Sorghum
37,56,44,19.1,77,7.42,398,Clay,169,Maize
100,9,37,10.2,43,7.21,751,Clay,121,Wheat
75,29,70,23.3,84,6.41,1181,Sandy Loam,193,Tomato
13,27,91,28.9,75,5.49,1109,Loam,197,Cassava
120,47,18,18.2,56,6.98,546,Sandy Loam,233,Maize
102,63,56,20.5,91,6.09,1400,Loam,131,Tea
79,34,64,21.9,52,6.71,1283,Loam,109,Tomato
69,12,69,24.7,50,6.48,352,Clay,160,Maize
99,34,32,20.1,66,6.44,724,Silty Loam,178,Maize
61,46,17,26.6,57,7.45,747,Loam,230,Beans
107,80,58,20.8,90,5.42,2911,Loam,135,Tea
119,12,66,18.5,57,6.57,717,Clay,199,Wheat
86,46,58,22.9,87,6.05,1577,Clay,173,Tea
78,42,10,23.9,73,6.29,560,Loam,139,Beans
10,24,34,28.0,79,5.73,1102,Loam,222,Cassava
104,48,71,19.0,42,7.6,707,Clay,167,Wheat
88,18,48,21.8,77,6.59,1966,Clay,218,Tea
100,24,78,20.9,69,6.67,358,Sandy Loam,183,Maize
23,17,43,29.9,66,7.09,1065,Loam,130,Cassava
57,23,23,22.1,55,6.72,478,Sandy Loam,145,Beans
95,16,53,22.5,89,5.73,292,Loam,181,Beans
47,7,24,22.7,56,7.17,159,Silty Clay,198,Sorghum
70,65,55,20.8,72,7.26,828,Silty Loam,158,Tomato
80,45,37,22.5,52,6.02,587,Sandy Loam,203,Wheat
103,71,24,18.5,58,6.13,343,Silty Clay,107,Tomato
101,45,37,21.1,64,6.57,685,Loam,209,Maize
23,28,31,26.8,26,5.54,446,Loam,136,Sorghum
80,19,79,24.2,65,7.21,621,Clay,119,Tomato
85,50,59,30.8,60,6.38,750,Sandy Loam,222,Maize
97,44,69,8.6,71,6.83,634,Sandy Loam,102,Wheat
25,15,51,23.1,69,6.33,601,Silty Clay,158,Cassava
63,29,37,25.2,57,5.22,339,Silty Clay,195,Beans
53,27,30,30.2,42,5.49,315,Sandy Loam,117,Sorghum
70,61,67,16.7,90,7.31,730,Loam,173,Tomato
45,35,18,24.9,35,6.09,505,Loam,198,Sorghum
106,34,71,16.9,95,5.13,1644,Silty Clay,205,Tea
36,8,98,18.5,74,5.67,766,Silty Clay,129,Cassava
102,46,39,21.8,67,5.72,538,Silty Loam,157,Maize
38,37,48,23.4,68,5.76,332,Loam,183,Beans
57,47,34,18.5,53,6.21,249,Silty Loam,263,Beans
1,35,75,27.4,78,6.32,572,Loam,201,Cassava
48,41,103,25.3,74,5.68,644,Sandy Loam,220,Cassava
33,42,79,10.5,82,6.3,472,Clay,155,Wheat
18,11,27,32.7,65,7.5,255,Silty Loam,210,Sorghum
36,18,50,26.7,59,6.2,466,Clay,214,Beans
117,39,68,21.3,61,5.52,522,Loam,201,Maize
16,5,69,29.8,73,6.74,932,Loam,203,Cassava
47,24,29,10.1,47,8.17,421,Loam,160,Wheat
49,60,87,20.6,59,7.78,593,Clay,187,Wheat
78,14,114,18.5,75,6.94,645,Silty Clay,201,Tomato
56,55,85,17.7,89,4.72,2745,Loam,178,Tea
117,10,31,19.0,44,6.22,349,Silty Loam,223,Maize
98,49,53,24.1,43,7.15,714,Sandy Loam,216,Maize
126,64,68,21.4,68,5.5,2055,Sandy Loam,169,Tea
54,38,33,35.6,40,7.65,525,Sandy Loam,197,Sorghum
65,45,51,21.3,50,7.77,660,Loam,234,Wheat
53,13,58,27.8,77,5.68,708,Silty Loam,238,Beans
18,37,30,28.2,93,6.81,1405,Loam,183,Cassava
94,44,68,22.4,57,6.87,707,Loam,207,Maize
47,53,71,20.5,65,6.99,454,Silty Clay,208,Beans
33,10,9,23.0,94,5.25,784,Loam,147,Cassava
88,50,52,19.7,78,6.4,388,Loam,208,Maize
87,31,24,12.0,73,7.32,537,Loam,215,Wheat
65,28,13,25.2,41,7.28,248,Silty Clay,118,Beans
23,18,2,30.1,56,6.31,309,Loam,174,Sorghum
75,22,44,20.9,50,6.74,615,Sandy Loam,235,Wheat
111,26,29,22.6,78,5.81,2203,Silty Clay,129,Tea
47,11,62,28.3,73,7.44,252,Loam,169,Sorghum
25,31,61,26.5,64,5.51,945,Loam,151,Cassava
110,72,29,16.2,78,4.78,1576,Silty Clay,178,Tea
44,46,20,17.2,40,6.73,677,Sandy Loam,165,Wheat
69,31,68,28.7,52,5.38,623,Silty Clay,230,Maize
55,63,30,10.6,69,7.13,398,Sandy Loam,189,Wheat
103,57,58,25.4,40,6.21,792,Sandy Loam,152,Maize
125,28,73,27.7,69,5.88,562,Loam,147,Maize
88,53,4,17.9,61,6.58,724,Silty Clay,258,Maize
124,61,65,29.0,90,6.18,1072,Loam,170,Tomato
35,9,35,24.9,67,6.37,213,Sandy Loam,189,Beans
47,11,39,22.4,70,5.81,448,Silty Loam,249,Beans
40,24,96,22.3,77,7.38,1036,Clay,172,Cassava
64,30,86,30.5,85,6.83,792,Sandy Loam,237,Tomato
104,74,49,20.0,74,6.29,2946,Sandy Loam,239,Tea
66,32,54,20.6,80,5.82,1343,Sandy Loam,224,Tea
70,15,46,20.2,70,6.6,363,Silty Loam,139,Maize
72,34,56,19.4,58,6.7,303,Silty Clay,181,Wheat
8,19,34,17.7,74,6.97,690,Sandy Loam,122,Beans
133,35,66,26.7,91,6.33,1537,Silty Loam,163,Tea
63,61,29,14.6,56,6.35,307,Loam,253,Wheat
2,28,24,27.0,43,5.93,481,Silty Loam,234,Sorghum
105,24,31,29.8,77,5.8,615,Sandy Loam,168,Maize
98,49,52,22.0,80,5.04,1305,Loam,182,Tea
30,18,17,25.5,49,6.15,169,Loam,222,Sorghum
45,16,13,28.2,25,7.51,510,Sandy Loam,169,Sorghum
82,39,64,26.1,45,6.21,1041,Sandy Loam,198,Tomato
28,20,35,26.1,70,7.13,539,Loam,147,Sorghum
33,33,33,26.1,51,5.6,539,Loam,135,Beans
102,52,61,17.0,63,7.75,537,Sandy Loam,228,Wheat
97,22,23,21.2,46,6.78,487,Loam,208,Wheat
81,54,22,18.1,50,7.85,427,Sandy Loam,174,Wheat
135,33,51,19.0,74,4.78,2166,Clay,164,Tea
81,49,65,23.3,67,5.34,1750,Silty Clay,192,Tea
77,45,64,24.0,74,6.34,575,Silty Clay,105,Maize
90,40,88,15.5,82,6.12,1925,Sandy Loam,137,Tea
42,14,35,30.1,75,7.11,380,Silty Loam,180,Maize
83,24,50,16.8,62,7.88,619,Loam,164,Wheat
62,39,73,29.3,44,7.22,828,Clay,196,Maize
48,26,42,25.5,44,8.2,247,Loam,185,Sorghum
60,74,35,18.1,75,4.59,2874,Sandy Loam,197,Tea
66,72,51,21.0,84,5.58,840,Clay,214,Tomato
87,9,34,12.2,74,7.33,441,Loam,142,Wheat
109,39,43,17.1,62,7.68,399,Clay,169,Wheat
39,42,39,16.4,51,6.83,745,Loam,146,Wheat
51,37,34,21.4,62,5.19,201,Clay,238,Beans
31,36,82,26.6,95,7.34,593,Loam,191,Cassava
59,10,30,13.8,51,7.6,364,Silty Loam,180,Wheat
59,30,50,23.6,62,6.83,307,Silty Clay,289,Maize
14,5,52,20.9,53,5.1,821,Silty Loam,189,Cassava
90,77,75,18.6,69,5.97,1086,Loam,158,Tomato
28,41,22,23.1,53,6.15,194,Clay,175,Sorghum
19,12,109,28.9,82,6.89,909,Silty Loam,178,Cassava
39,50,68,19.0,49,5.57,435,Silty Clay,186,Beans
62,26,8,34.1,47,7.87,550,Loam,230,Sorghum
44,44,43,14.2,70,6.63,703,Loam,137,Wheat
90,31,73,24.9,81,7.13,1034,Sandy Loam,154,Tomato
83,52,46,21.2,81,7.46,234,Loam,167,Beans
22,19,49,26.8,55,7.28,402,Silty Loam,172,Sorghum
43,9,47,21.0,69,5.07,1249,Loam,89,Cassava
85,29,29,20.6,48,7.53,385,Loam,243,Beans
27,41,23,13.9,58,7.04,545,Loam,137,Wheat
29,26,57,24.9,77,5.78,458,Loam,153,Beans
44,60,75,16.5,48,6.99,463,Sandy Loam,186,Wheat
12,0,23,28.4,60,5.62,233,Sandy Loam,227,Sorghum
32,33,35,20.6,65,7.09,244,Clay,124,Maize
84,44,59,26.3,87,6.29,416,Silty Clay,222,Beans
68,49,56,15.9,54,7.88,544,Loam,202,Wheat
17,13,53,28.9,61,5.34,641,Silty Clay,116,Beans
107,33,43,27.5,75,5.86,320,Loam,208,Tomato
52,19,38,24.9,76,7.01,1043,Clay,210,Cassava
46,25,53,23.4,51,6.82,866,Sandy Loam,215,Maize
107,11,57,26.3,48,5.25,512,Clay,181,Maize
32,13,36,10.1,28,6.76,329,Loam,209,Wheat
57,38,69,23.3,48,8.05,662,Silty Clay,214,Wheat
